ts,icao,lat,lon,alt,vw,dw,vwx,vwy
1484136022.7,400940,52.11453,5.96126,38050,40.52,148.12,21.4,-34.41
1484136022.8,484160,52.32101,4.87541,1250,18.3,103.22,17.82,-4.18
1484136022.9,344156,52.24969,4.91905,5675,23.22,127.1,18.52,-14.01
1484136023.0,485209,52.00772,4.27177,8600,12.27,105.75,11.81,-3.33
1484136023.0,76CEF1,52.49908,4.90852,31000,56.59,133.23,41.24,-38.76
1484136023.1,4CA741,52.82414,3.53233,37000,48.15,130.28,36.74,-31.13
1484136023.3,484160,52.32097,4.87541,1250,18.3,103.22,17.82,-4.18
1484136023.4,3950CD,52.32383,4.96182,2275,24.6,109.0,23.26,-8.01
1484136023.5,485209,52.00813,4.27269,8600,8.24,89.03,8.24,0.14
1484136023.6,896063,50.69412,4.37204,26475,62.57,145.5,35.44,-51.57
1484136023.7,400940,52.11429,5.95818,38050,40.52,148.12,21.4,-34.41
1484136023.7,4063DE,52.44286,2.97847,37000,52.6,123.29,43.97,-28.87
1484136024.0,485209,52.00859,4.27353,8575,11.51,101.96,11.26,-2.38
1484136024.1,4063DE,52.44338,2.97965,36975,52.61,123.16,44.05,-28.78
1484136024.1,896063,50.69394,4.37352,26475,62.57,145.5,35.44,-51.57
1484136024.2,400940,52.1142,5.95695,38050,40.52,148.12,21.4,-34.41
1484136024.3,44CE72,51.14639,4.78874,5875,19.66,108.37,18.65,-6.2
1484136024.5,485209,52.009,4.27447,8575,15.05,109.53,14.19,-5.03
1484136024.5,76CEF1,52.49812,4.91531,31000,56.59,133.23,41.24,-38.76
1484136024.5,896063,50.69376,4.37508,26475,61.93,144.87,35.64,-50.65
1484136024.7,44CE72,51.14662,4.78959,5875,20.57,110.37,19.28,-7.16
1484136024.9,484CB8,51.02472,4.29536,22800,47.89,141.24,29.98,-37.35
1484136025.0,485209,52.00937,4.27517,8575,9.34,99.15,9.22,-1.48
1484136025.2,44CE72,51.14699,4.79095,5850,20.6,110.28,19.32,-7.14
1484136025.3,484CB8,51.02512,4.29375,22800,47.89,141.24,29.98,-37.35
1484136025.3,4CA8EA,52.62256,3.45763,14700,60.97,128.39,47.79,-37.87
1484136025.4,485209,52.00969,4.27597,8550,9.37,98.89,9.26,-1.45
1484136025.6,484132,52.95103,2.16643,29475,58.91,116.96,52.51,-26.71
1484136025.6,896063,50.69334,4.37935,26475,61.5,145.14,35.15,-50.47
1484136025.7,4D00D9,51.05493,2.87233,23000,53.7,138.68,35.46,-40.33
1484136025.8,344156,52.24983,4.925,5625,23.59,127.63,18.68,-14.4
1484136025.8,4CA8EA,52.62222,3.45947,14650,60.53,128.62,47.29,-37.78
1484136025.9,485209,52.0101,4.27689,8550,11.74,106.29,11.27,-3.29
1484136026.0,406890,51.74602,2.01118,26500,54.46,130.39,41.48,-35.29
1484136026.0,76CEF1,52.49728,4.92125,31000,56.59,133.23,41.24,-38.76
1484136026.1,484132,52.9503,2.16957,29450,59.0,116.98,52.58,-26.76
1484136026.2,44CE72,51.1476,4.79317,5850,21.27,109.83,20.01,-7.22
1484136026.2,484CB8,51.02586,4.29207,22775,47.88,141.57,29.76,-37.51
